feature,importance_mean,importance_std
checkup_recency,0.03502432446161106,0.0016743017387496786
age_group,0.011332939903762385,0.0031843083119316227
race_ethnicity,0.010636744798777454,0.002875740656008097
income_group,0.009492501362511386,0.0036397619219013713
marital_status,0.007682645851942805,0.0023921332248812424
urban_rural,0.00518210184554031,0.0010216307680754697
general_health,0.004978911849668322,0.0016676610193383898
employment_status,0.004853113834975597,0.002458326889834566
smoking_status,0.0033929307782074813,0.0014838597751155786
personal_doctor,0.003202090448578465,0.0010490760646049233
insurance_status,0.0028425748616027315,0.0011285527212322932
sex,0.0024626853753111798,0.0009880856748775476
cost_barrier,0.0006357721308569708,0.0003545426468180188
diabetes_status,0.00022694660574382742,0.00036160495888939824
bmi_category,0.00010756465025316687,0.0009594880074176033
education_level,-0.00020861896904302845,0.0007136763948229677
heart_disease,-0.0017521886137297437,0.00029354118844447235
