Model,N predictors,AUROC,AUPRC,Precision,Sensitivity,F1,Accuracy
M1,8,0.7211085177502045,0.5015205079163274,0.4278114632193113,0.6204064703442554,0.5064156820259336,0.6797935427190863
M2,12,0.7635940760684553,0.5939524887585408,0.4878497557261595,0.6378266279552053,0.5528472821397756,0.7268174829782561
M3,17,0.7658671009057627,0.5969656244390801,0.4887869520897044,0.6364164247200332,0.5529170119995676,0.7274983527344608
