Model,N predictors,AUROC,AUPRC,Precision,Sensitivity,Specificity,F1,Accuracy
M1,8,0.7164969456334842,0.49399192077629617,0.42580719690406055,0.6115304852758192,0.7030321135175505,0.5020430400435849,0.6788051833955634
M2,12,0.7600552806111149,0.5889384172941587,0.4919459599896077,0.6282870178349232,0.7663330843913368,0.5518196058431387,0.729782560948825
M3,17,0.7612602073704384,0.5910029271225454,0.4985611992237168,0.6180008295313149,0.7761613144137416,0.5518927327950218,0.734285086755985
