feature,importance_mean,importance_std
age_group,0.07666031856872398,0.002928326149188172
checkup_recency,0.041631571731760776,0.0007937399800191914
income_group,0.010317465029206784,0.0005153360375654344
personal_doctor,0.008426775099389161,0.0007557006493823769
education_level,0.008256528744395687,0.0013692052247385855
employment_status,0.007084558447928635,0.0011763675453113174
marital_status,0.005417314566838893,0.0002146523242889277
smoking_status,0.0035109322287612877,0.00032826642839505377
race_ethnicity,0.0035070813310287942,0.0003084326646973382
insurance_status,0.0033383982571386197,0.0009678705979926928
cost_barrier,0.00230269014317559,0.00068945616521562
urban_rural,0.0014451525231711448,0.00020889566567522988
bmi_category,0.0012437528639618334,0.0005503724314643044
general_health,0.0008393077452028442,0.00027156855007862764
sex,0.00033326998453735434,0.00015665008887055454
diabetes_status,0.00023385493361076647,0.00010196480415815536
heart_disease,7.604376921186429e-05,0.0001056392855256387
