feature,importance_mean,importance_std
age_group,0.07882284291103939,0.002872817664738312
checkup_recency,0.04339417576015294,0.0009742918289874368
personal_doctor,0.010293603216471525,0.0008988578440299468
marital_status,0.006696543826161761,0.00029141441531567013
employment_status,0.005551612333059341,0.0008088325432741549
income_group,0.005467903443598865,0.0007143965133383295
smoking_status,0.005298232431064221,0.0005358188366597395
education_level,0.00480968416426728,0.000922950755595892
insurance_status,0.00443117988457904,0.0009094464159770465
cost_barrier,0.003370564714210378,0.0008184776118977996
race_ethnicity,0.0030166855502008483,0.0005343459388494363
urban_rural,0.0014085965011247036,0.0005612233762919593
bmi_category,0.0007716694771725763,0.00030566808396817317
sex,0.00013488456968437922,0.0002590294211938379
heart_disease,4.531681438801893e-05,5.2745145563643994e-05
general_health,-8.839873277033394e-05,0.00029485781597519706
diabetes_status,-0.00010362353202002517,0.00032366368033472787
