Branch,AUROC,AUPRC,Precision,Sensitivity,Specificity,F1,Accuracy
Primary (Not reported retained),0.766167363983039,0.5974272433415069,0.49103668261563,0.638490253007051,0.7616728902165796,0.5551388388027407,0.7290577641115747
Sensitivity (KNN imputed),0.7654619711931466,0.5968662903839468,0.49231163505894415,0.6374118622978018,0.7632860343539956,0.5555435057658243,0.7299582692730068
