Model,N predictors,AUROC,AUPRC,Precision,Sensitivity,F1,Accuracy
M1,8,0.7100828186966075,0.48315334205105054,0.4078799057280459,0.6603898797179594,0.5042916415925,0.6562486272787174
M2,12,0.752712787327438,0.58065887602578,0.46856831395348836,0.6418083782662796,0.5416739594637169,0.7124313639358665
M3,17,0.7546969481734978,0.5834678194598768,0.4729096989966555,0.645126503525508,0.5457543859649123,0.7156600043927082
