Model,Estimator,N predictors,AUROC,AUPRC,Sensitivity,Accuracy
M1,logreg,8,0.7100828162185453,0.4831533420510506,0.6603898797179594,0.6562486272787174
M1,gb,8,0.72116867518769,0.5021741410739536,0.6197428452924097,0.6803645947726773
M2,logreg,12,0.7527127873274377,0.5806588760257799,0.6418083782662796,0.7124313639358665
M2,gb,12,0.7633765059261308,0.5941456307233736,0.6381584404811281,0.726993191302438
M3,logreg,17,0.7546969494125289,0.5834678205866093,0.645126503525508,0.7156600043927082
M3,gb,17,0.7661765464424475,0.5980187103302859,0.6386561592700124,0.7274763891939381
