Model,N predictors,AUROC,AUPRC,Precision,Sensitivity,Specificity,F1,Accuracy
M1,8,0.7183866018612105,0.49523550134650296,0.4381377936114969,0.6019079220240564,0.7220313666915609,0.5071288789488398,0.6902262244673841
M2,12,0.7608790405191045,0.5896702269136289,0.4935346242205448,0.623724595603484,0.7694996265870052,0.5510443385855625,0.7309027015154843
M3,17,0.7623099814176312,0.5892860927967323,0.4941455071701092,0.623143923683119,0.7702763256161315,0.5511978574311186,0.7313200087854163
